lat,lon
45.4588892,9.1869976
45.5454094,9.1687742
45.4832357,9.1379787
45.4887504,9.1187053
45.4863737,9.1288109
45.5492868,9.1567059
45.5895283,9.002034
45.5998662,9.0250181
45.5466677,9.1563948
45.5475124,9.1588289
45.5232473,9.3305039
45.5491619,9.1553245
45.5496072,9.1552279
45.5267731,9.3337962
45.4868109,9.1275471
45.4466905,9.1651461
45.4516866,9.1695441
45.4871967,9.1842026
45.4962402,9.1345211
45.5028807,9.1239591
45.476482,9.1717424
45.4768618,9.1704604
45.4771628,9.1726892
45.4776443,9.1724881
45.4768092,9.1726491
45.477648,9.1702994
45.4685651,9.172065
45.6347769,9.2989562
45.4812967,9.2056948
45.4815711,9.2041715
45.4946456,9.0806911
45.451319,9.1776773
45.4509847,9.0966624
45.3330212,9.1218555
45.4967391,9.0433325
45.5121773,9.0840657
45.4544307,9.2135749
45.5714916,9.1481766
45.6174847,9.199899
45.4893106,9.0607537
45.5600317,9.3023222
45.6340415,9.1920505
45.5554239,9.3046372
45.5638885,9.3263803
45.5645282,9.3279678
45.5475603,9.289826
45.4595842,9.1774613
45.4530743,9.170854
45.5038579,9.2230219
45.4560476,9.2050227
45.5483912,9.2756967
45.5474395,9.2696457
45.4331411,9.3382878
45.5567208,9.3004727
45.5537838,9.2978588
45.5579866,9.3006738
45.5590515,9.3046041
45.5540271,9.298072
45.5553726,9.2957975
45.5481006,9.2937639
45.5594347,9.3053081
45.5465879,9.3031265
45.5483035,9.293739
45.4890671,9.0533788
45.5238427,9.0445389
45.5475728,9.3023985
45.5523945,9.3025634
45.5722643,9.3511213
45.545981,9.4543002
45.5286014,9.2748757
45.5285939,9.2761202
45.4657211,9.1905653
45.5394772,9.2226417
45.4656651,9.1941376
45.4788993,9.1172383
45.4473636,9.1549105
45.4593444,9.2079474
45.4607977,9.1179164
45.4720749,9.1857399
45.4533021,9.1807732
45.5612247,9.2157936
45.4500423,9.1754638
45.5467655,9.1975142
45.5435379,9.1875777
45.5419481,9.1738163
45.4431486,9.1117516
45.4556116,9.1715002
45.4510206,9.1705008
45.4919543,9.2162792
45.4875047,9.2173149
45.542802,9.175309
45.539932,9.1589085
45.544664,9.1696027
45.5445817,9.1704797
45.5025816,9.2246935
45.5049014,9.2231053
45.428385,9.2965454
45.4612043,9.2118913
45.4776476,9.2051473
45.4841413,9.1636818
45.4846332,9.1643979
45.4848074,9.1650801
45.4834359,9.1655052
45.6564933,9.1998684
45.6144489,9.2038805
45.4297827,9.2664587
45.4303888,9.2668021
45.5369252,8.9335457
45.4863171,9.1866888
45.4470474,9.1516689
45.4819876,9.2131304
45.4780419,9.1801894
45.4883612,9.1526327
45.6011887,9.1220327
45.4679306,9.1745645
45.6161258,9.0728121
45.5293431,9.1728086
45.4678804,9.133861
45.4468055,9.0340712
45.4889025,9.2109699
45.5369009,9.4829132
